"year" "month" "disch" "prec" "temp"
1954 7 1.095 4.06 11.44
1954 8 1.197 14.73 14.33
1954 9 1.209 12.7 18.33
1954 10 2.035 59.18 21.67
1954 11 8.566 72.39 19
1954 12 1.618 42.42 17.28
1955 1 1.262 22.35 12.17
1955 2 0.999 0.25 5.56
1955 3 0.986 3.3 0.11
1955 4 1.151 21.08 -2.06
1955 5 1.122 4.57 -1.39
1955 6 0.792 2.79 4.44
1955 7 0.581 2.29 7.78
1955 8 0.534 14.73 12.5
1955 9 0.695 9.4 17.72
1955 10 4.301 65.28 19.89
1955 11 7.783 92.96 19.67
1955 12 1.085 2.79 16.5
1956 1 1.722 21.08 11.83
1956 2 0.704 1.27 4.72
1956 3 0.81 7.62 2.61
1956 4 0.764 18.03 2.72
1956 5 0.847 19.81 -1.06
1956 6 0.801 0.25 5.67
1956 7 0.59 4.32 8.17
1956 8 0.488 4.83 14.83
1956 9 0.324 13.72 20.06
1956 10 0.921 51.05 20.22
1956 11 1.041 38.86 18.22
1956 12 0.438 1.52 17.44
1957 1 0.59 12.45 10.78
1957 2 0.609 0.25 1.94
1957 3 0.764 2.54 -0.28
1957 4 1.142 24.64 2.06
1957 5 0.916 10.41 6.56
1957 6 0.93 19.56 5.44
1957 7 0.581 17.78 8.22
1957 8 1.64 21.34 11.5
1957 9 0.971 17.53 18.56
1957 10 1.907 82.55 21.11
1957 11 22.188 122.17 18.72
1957 12 2.989 6.1 15.5
1958 1 2.1 56.9 9.72
1958 2 2.16 13.21 2.44
1958 3 1.262 4.06 2.17
1958 4 1.078 13.72 -0.94
1958 5 1.28 23.62 3.56
1958 6 27.171 54.61 2.72
1958 7 31.332 27.94 8.33
1958 8 7.7 6.86 14.94
1958 9 1.428 18.29 20.11
1958 10 0.986 46.48 21.06
1958 11 2.404 62.23 20.44
1958 12 6.148 69.09 16.61
1959 1 2.837 48.77 10.56
1959 2 1.885 9.65 4.44
1959 3 1.308 1.52 2.72
1959 4 1.243 4.06 0.94
1959 5 1.024 13.46 1.5
1959 6 0.645 3.05 4.11
1959 7 0.761 11.68 10.28
1959 8 0.636 2.29 13.17
1959 9 0.533 18.8 19.56
1959 10 2.984 55.63 21.06
1959 11 7.838 104.65 19.33
1959 12 1.237 1.78 15.78
1960 1 2.1 52.32 10.94
1960 2 4.14 10.41 4.11
1960 3 4.016 41.91 4.39
1960 4 9.487 27.18 -3.06
1960 5 4.578 7.11 -0.33
1960 6 17.454 5.33 6.39
1960 7 4.664 2.03 9.28
1960 8 2.026 10.41 12.83
1960 9 1.095 16.26 19.33
1960 10 1.068 41.66 20.33
1960 11 0.774 38.86 20.28
1960 12 0.809 22.35 17
