"year" "month" "disch" "prec" "temp" "fracyear" "Adisch" "Aprec" "Atemp"
1957 9 0.971 17.53 18.56 1957.67 -0.29 0.26 -0.14
1957 10 1.907 82.55 21.11 1957.75 -0.09 26.37 0.25
1957 11 22.188 122.17 18.72 1957.83 17.31 52.8 -1.01
1957 12 2.989 6.1 15.5 1957.92 0.69 -27.75 -1.22
1958 1 2.1 56.9 9.72 1958 0.24 31.71 -1.29
1958 2 2.16 13.21 2.44 1958.08 0.43 2.4 -1.8
1958 3 1.262 4.06 2.17 1958.17 -1.33 -13.08 0.92
1958 4 1.078 13.72 -0.94 1958.25 -3.75 -4.85 -1.09
1958 5 1.28 23.62 3.56 1958.33 -1.87 9.14 1.57
1958 6 27.171 54.61 2.72 1958.42 19.38 37.99 -1.91
1958 7 31.332 27.94 8.33 1958.5 24.98 15.5 -0.82
1958 8 7.7 6.86 14.94 1958.58 4.41 -4.28 1.33
1958 9 1.428 18.29 20.11 1958.67 0.17 1.02 1.41
1958 10 0.986 46.48 21.06 1958.75 -1.01 -9.7 0.2
1958 11 2.404 62.23 20.44 1958.83 -2.47 -7.14 0.71
1958 12 6.148 69.09 16.61 1958.92 3.85 35.24 -0.11
1959 1 2.837 48.77 10.56 1959 0.98 23.58 -0.45
1959 2 1.885 9.65 4.44 1959.08 0.15 -1.16 0.2
1959 3 1.308 1.52 2.72 1959.17 -1.28 -15.62 1.47
1959 4 1.243 4.06 0.94 1959.25 -3.58 -14.51 0.79
1959 5 1.024 13.46 1.5 1959.33 -2.12 -1.02 -0.49
1959 6 0.645 3.05 4.11 1959.42 -7.14 -13.57 -0.52
1959 7 0.761 11.68 10.28 1959.5 -5.59 -0.76 1.13
1959 8 0.636 2.29 13.17 1959.58 -2.65 -8.85 -0.44
1959 9 0.533 18.8 19.56 1959.67 -0.72 1.53 0.86
1959 10 2.984 55.63 21.06 1959.75 0.99 -0.55 0.2
1959 11 7.838 104.65 19.33 1959.83 2.96 35.28 -0.4
1959 12 1.237 1.78 15.78 1959.92 -1.06 -32.07 -0.94
1960 1 2.1 52.32 10.94 1960 0.24 27.13 -0.07
1960 2 4.14 10.41 4.11 1960.08 2.41 -0.4 -0.13
1960 3 4.016 41.91 4.39 1960.17 1.43 24.77 3.14
1960 4 9.487 27.18 -3.06 1960.25 4.66 8.61 -3.21
1960 5 4.578 7.11 -0.33 1960.33 1.43 -7.37 -2.32
1960 6 17.454 5.33 6.39 1960.42 9.67 -11.29 1.76
1960 7 4.664 2.03 9.28 1960.5 -1.69 -10.41 0.13
1960 8 2.026 10.41 12.83 1960.58 -1.26 -0.73 -0.78
1960 9 1.095 16.26 19.33 1960.67 -0.16 -1.01 0.63
1960 10 1.068 41.66 20.33 1960.75 -0.92 -14.52 -0.53
1960 11 0.774 38.86 20.28 1960.83 -4.1 -30.51 0.55
1960 12 0.809 22.35 17 1960.92 -1.49 -11.5 0.28
